date,year,month,time_of_day,division
2014-01-01,2014,January,Afternoon,D14
2014-01-01,2014,January,Night,D33
2014-01-02,2014,January,Evening,D12
2014-01-08,2014,January,Afternoon,D41
2014-01-10,2014,January,Afternoon,D42
2014-01-10,2014,January,Night,D51
2014-01-12,2014,January,Evening,D23
2014-01-17,2014,January,Night,D33
2014-01-19,2014,January,Evening,D23
2014-01-20,2014,January,Night,D33
2014-01-23,2014,January,Afternoon,D33
2014-01-24,2014,January,Night,D41
2014-01-29,2014,January,Night,D23
2014-01-29,2014,January,Afternoon,D43
2014-01-30,2014,January,Afternoon,D42
2014-01-30,2014,January,Morning,D43
2014-02-03,2014,February,Morning,D52
2014-02-04,2014,February,Night,D32
2014-02-09,2014,February,Evening,D22
2014-02-13,2014,February,Evening,D31
2014-02-14,2014,February,Night,D14
2014-02-21,2014,February,Afternoon,D41
2014-02-22,2014,February,Evening,D51
2014-02-24,2014,February,Night,D32
2014-02-25,2014,February,Morning,D55
2014-02-26,2014,February,Afternoon,D12
2014-02-27,2014,February,Evening,D54
2014-02-28,2014,February,Night,D22
2014-03-01,2014,March,Morning,D51
2014-03-03,2014,March,Morning,D12
2014-03-03,2014,March,Afternoon,D12
2014-03-04,2014,March,Evening,D41
2014-03-06,2014,March,Evening,D31
2014-03-08,2014,March,Afternoon,D54
2014-03-09,2014,March,Evening,D51
2014-03-11,2014,March,Afternoon,D51
2014-03-11,2014,March,Afternoon,D43
2014-03-12,2014,March,Morning,D51
2014-03-19,2014,March,Evening,D55
2014-03-21,2014,March,Evening,D54
2014-03-22,2014,March,Night,D51
2014-03-23,2014,March,Evening,D32
2014-03-25,2014,March,Evening,D11
2014-03-30,2014,March,Night,D54
2014-03-31,2014,March,Evening,D51
2014-04-04,2014,April,Night,D51
2014-04-06,2014,April,Afternoon,D51
2014-04-08,2014,April,Afternoon,D12
2014-04-12,2014,April,Morning,D54
2014-04-13,2014,April,Evening,D42
2014-04-22,2014,April,Evening,D12
2014-04-23,2014,April,Afternoon,D51
2014-04-26,2014,April,Evening,D55
2014-05-02,2014,May,Evening,D13
2014-05-06,2014,May,Night,D23
2014-05-07,2014,May,Evening,D23
2014-05-09,2014,May,Night,D55
2014-05-09,2014,May,Afternoon,D12
2014-05-13,2014,May,Afternoon,D42
2014-05-14,2014,May,Afternoon,D41
2014-05-17,2014,May,Night,D51
2014-05-19,2014,May,Afternoon,D53
2014-05-19,2014,May,Evening,D54
2014-05-19,2014,May,Evening,D11
2014-05-20,2014,May,Night,D54
2014-05-20,2014,May,Evening,D23
2014-05-23,2014,May,Night,D31
2014-05-24,2014,May,Evening,D55
2014-05-26,2014,May,Afternoon,D42
2014-05-27,2014,May,Evening,D23
2014-05-30,2014,May,Evening,D23
2014-05-30,2014,May,Morning,D23
2014-05-30,2014,May,Evening,D23
2014-05-31,2014,May,Evening,D31
2014-06-01,2014,June,Afternoon,D31
2014-06-01,2014,June,Night,D41
2014-06-02,2014,June,Morning,D31
2014-06-05,2014,June,Evening,D42
2014-06-06,2014,June,Afternoon,D41
2014-06-07,2014,June,Night,D31
2014-06-08,2014,June,Evening,D31
2014-06-11,2014,June,Evening,D31
2014-06-12,2014,June,Night,D23
2014-06-13,2014,June,Evening,D32
2014-06-19,2014,June,Night,D32
2014-06-19,2014,June,Night,D12
2014-06-24,2014,June,Afternoon,D33
2014-06-26,2014,June,Evening,D32
2014-06-29,2014,June,Night,D31
2014-07-01,2014,July,Night,D22
2014-07-06,2014,July,Night,D51
2014-07-06,2014,July,Evening,D23
2014-07-08,2014,July,Evening,D13
2014-07-08,2014,July,Night,D32
2014-07-10,2014,July,Night,D54
2014-07-14,2014,July,Evening,D54
2014-07-15,2014,July,Night,D43
2014-07-16,2014,July,Afternoon,D31
2014-07-18,2014,July,Night,D14
2014-07-20,2014,July,Evening,D23
2014-07-22,2014,July,Night,D22
2014-07-23,2014,July,Night,D54
2014-07-25,2014,July,Afternoon,D31
2014-07-28,2014,July,Morning,D31
2014-07-30,2014,July,Evening,D12
2014-08-02,2014,August,Evening,D54
2014-08-03,2014,August,Afternoon,D51
2014-08-04,2014,August,Evening,D14
2014-08-04,2014,August,Night,D14
2014-08-04,2014,August,Afternoon,D31
2014-08-07,2014,August,Evening,D31
2014-08-09,2014,August,Evening,D32
2014-08-10,2014,August,Night,D43
2014-08-14,2014,August,Evening,D32
2014-08-15,2014,August,Afternoon,D41
2014-08-18,2014,August,Night,D23
2014-08-18,2014,August,Evening,D12
2014-08-22,2014,August,Morning,D22
2014-08-24,2014,August,Afternoon,D31
2014-08-24,2014,August,Night,D12
2014-08-26,2014,August,Night,D14
2014-08-26,2014,August,Night,D22
2014-08-30,2014,August,Evening,D41
2014-09-01,2014,September,Evening,D31
2014-09-03,2014,September,Afternoon,D54
2014-09-05,2014,September,Afternoon,D31
2014-09-06,2014,September,Evening,D41
2014-09-07,2014,September,Night,D14
2014-09-08,2014,September,Evening,D12
2014-09-11,2014,September,Night,D32
2014-09-14,2014,September,Night,D43
2014-09-17,2014,September,Afternoon,D31
2014-09-23,2014,September,Evening,D31
2014-09-24,2014,September,Evening,D23
2014-09-25,2014,September,Evening,D41
2014-09-27,2014,September,Afternoon,D42
2014-09-28,2014,September,Evening,D12
2014-09-29,2014,September,Afternoon,D12
2014-09-29,2014,September,Evening,D43
2014-10-01,2014,October,Night,D12
2014-10-04,2014,October,Morning,D31
2014-10-05,2014,October,Night,D12
2014-10-06,2014,October,Evening,D51
2014-10-06,2014,October,Afternoon,D23
2014-10-07,2014,October,Night,D42
2014-10-07,2014,October,Night,D41
2014-10-10,2014,October,Afternoon,D23
2014-10-17,2014,October,Afternoon,D31
